ind	h	I01	I02	b1	b2	s	a
0	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
1	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
2	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
3	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
4	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
5	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
6	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
7	1.11831	0.00481615	-0.426363	1.37692	0.539148	0.559272	1.53363
8	1.11831	0.00481615	-0.426363	1.37692	0.539148	0.559272	1.53363
9	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
10	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
11	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
12	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
13	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
14	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
15	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
16	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
17	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
18	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
19	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
20	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
21	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
22	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
23	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.559272	1.53363
24	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
25	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
26	1.11831	0.00481615	-0.444739	1.36179	0.539148	0.5867	1.47336
27	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
28	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
29	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
30	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
31	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
32	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
33	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
34	1.11831	0.00481615	-0.426363	1.36179	0.539148	0.5867	1.47336
