ind	h	I01	I02	b1	b2	s	a
0	1.04185	-3.46324e-05	-0.0212653	1.00049	-0.897991	1.03279	-0.159945
1	1.04185	-3.46324e-05	-0.0212653	1.00049	-0.897991	1.03279	-0.159945
2	1.04185	-3.46324e-05	-0.0212653	1.00049	-0.897991	1.03279	-0.159945
3	1.04185	-3.46324e-05	-0.0212653	1.00049	-0.897991	1.03279	-0.159945
4	1.06357	-3.46324e-05	0.109169	0.965733	-1.02674	1.0835	-0.199379
5	1.06357	-3.46324e-05	0.109169	0.965733	-1.02674	1.0835	-0.199379
6	1.06357	-3.46324e-05	0.109169	0.965733	-1.02674	1.0835	-0.199379
7	1.06357	-3.46324e-05	0.109169	0.965733	-1.02674	1.0835	-0.199379
8	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
9	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
10	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
11	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
12	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
13	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
14	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
15	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
16	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
17	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
18	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
19	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
20	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
21	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
22	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
23	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
24	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
25	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
26	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
27	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
28	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
29	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
30	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
31	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
32	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
33	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
34	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
35	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
36	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
37	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
38	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
39	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
40	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
41	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
42	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
43	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
44	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
45	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
46	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
47	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
48	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
49	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
50	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
51	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
52	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
53	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
54	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
55	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
56	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
57	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
58	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
59	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
60	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
61	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
62	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
63	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
64	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
65	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
66	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
67	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
68	1.06357	-3.46324e-05	0.109169	1.00049	-1.02674	1.0835	-0.199379
69	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
70	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
71	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
72	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
73	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
74	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
75	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
76	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
77	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
78	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
79	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
80	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
81	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
82	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
83	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
84	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
85	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
86	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
87	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
88	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
89	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
90	1.06357	-3.46324e-05	0.0947808	1.00049	-1.02674	1.08822	-0.199379
