ind	h	I01	I02	b1	b2	s	a
0	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
1	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
2	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
3	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
4	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
5	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
6	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
7	1.26142	-0.00280146	-0.237803	1.10252	0.448293	0.874255	-0.0602904
8	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
9	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
10	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
11	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
12	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
13	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
14	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
15	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
16	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
17	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
18	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
19	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
20	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
21	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
22	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
23	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
24	1.26142	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
25	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
26	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
27	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
28	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
29	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
30	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
31	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
32	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
33	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
34	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
35	1.28289	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
36	1.28289	0.0113767	-0.237803	1.10252	0.359514	0.874255	-0.0602904
37	1.29055	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
38	1.29055	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
39	1.29055	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
40	1.29055	-0.00280146	-0.237803	1.10252	0.359514	0.874255	-0.0602904
41	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
42	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
43	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
44	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
45	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
46	1.28289	-0.00280146	-0.237803	1.10252	0.445697	0.874255	-0.0602904
47	1.28289	-0.00280146	-0.264611	1.10252	0.445697	0.874255	-0.0602904
48	1.28289	-0.00280146	-0.264611	1.10252	0.445697	0.874255	-0.0602904
49	1.28289	-0.00280146	-0.264611	1.10252	0.445697	0.874255	-0.0602904
50	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
51	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
52	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
53	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
54	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
55	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
56	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
57	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
58	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
59	1.28289	-0.00280146	-0.237803	1.10252	0.547787	0.874255	-0.0602904
