ind	h	I01	I02	b1	b2	s	a
0	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
1	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
2	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
3	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
4	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
5	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
6	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
7	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
8	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
9	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
10	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
11	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
12	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
13	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
14	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
15	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
16	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
17	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
18	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
19	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
20	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
21	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
22	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
23	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
24	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
25	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
26	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
27	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
28	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
29	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
30	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
31	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
32	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
33	1.01672	0.0833746	0.41741	1.11298	-1.45652	1.05653	1.21348
34	1.01672	0.0833746	0.41741	1.11298	-1.45652	1.05653	1.21348
35	1.01672	0.0833746	0.41741	1.11298	-1.45652	1.05653	1.21348
36	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
37	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
38	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
39	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
40	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
41	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
42	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
43	1.01672	-0.00341328	0.41741	1.11298	-1.45652	1.05653	1.21348
