ind	h	I01	I02	b1	b2	s	a
0	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
1	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
2	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
3	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
4	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
5	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
6	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
7	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
8	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
9	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
10	1.19268	-0.204744	0.969806	1.35383	-0.925849	1.12719	-0.488403
11	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
12	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.12719	-0.488403
13	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.09131	-0.488403
14	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.09131	-0.488403
15	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
16	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
17	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
18	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
19	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
20	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
21	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
22	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
23	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
24	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
25	1.19268	-0.204744	0.969806	1.35383	-0.885735	1.13162	-0.488403
26	1.12952	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
27	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
28	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
29	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
30	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
31	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
32	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
33	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
34	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
35	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
36	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
37	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
38	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
39	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
40	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09056	-0.488403
41	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.13162	-0.488403
42	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.13162	-0.488403
43	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.13162	-0.488403
44	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.13162	-0.488403
45	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.13162	-0.488403
46	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09387	-0.536342
47	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09387	-0.536342
48	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09387	-0.536342
49	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09387	-0.536342
50	1.21131	-0.204744	0.915287	1.28631	-0.892294	1.09387	-0.536342
