ind	h	I01	I02	b1	b2	s	a
0	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
1	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
2	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
3	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
4	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
5	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
6	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
7	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
8	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
9	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
10	1.27003	-0.00302173	-0.0741063	0.995056	0.465134	1.01706	-0.239516
11	1.27003	-0.00302173	-0.0741063	0.950964	0.465134	1.01706	-0.239516
12	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
13	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
14	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
15	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
16	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
17	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
18	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
19	1.27003	-0.00302173	-0.0741063	0.991892	0.432951	1.01706	-0.239516
20	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
21	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
22	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
23	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
24	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
25	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
26	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
27	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
28	1.27003	-0.00302173	-0.0741063	0.995056	0.432951	1.01706	-0.239516
29	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
30	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
31	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
32	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
33	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
34	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
35	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
36	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
37	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
38	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
39	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
40	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
41	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
42	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
43	1.27003	-0.00302173	-0.0247788	0.995056	0.465134	1.01706	-0.239516
44	1.24158	-0.00302173	-0.0857128	1.0005	0.736608	1.06675	-0.02507
45	1.24158	-0.00302173	-0.0857128	1.0005	0.736608	1.06675	-0.02507
46	1.24158	-0.00302173	-0.0857128	1.0005	0.736608	1.06675	-0.02507
47	1.24158	-0.00302173	-0.0857128	1.0005	0.736608	1.06675	-0.02507
48	1.24158	-0.00302173	-0.0595636	1.0005	0.736608	1.06675	-0.02507
49	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
50	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
51	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
52	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
53	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
54	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
55	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
56	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
57	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
58	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
59	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
60	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
61	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
62	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
63	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
64	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
65	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
66	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
67	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
68	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
69	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
70	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
71	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
72	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
73	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
74	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
75	1.24158	-0.00302173	-0.118401	1.0005	0.736608	1.06675	-0.02507
