ind	h	I01	I02	b1	b2	s	a
0	1.11054	-0.00613668	-0.169497	1.70915	-0.553004	1.38375	0.19718
1	1.11054	-0.00613668	-0.169497	1.70915	-0.553004	1.38375	0.19718
2	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
3	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
4	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
5	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
6	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
7	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
8	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
9	1.11054	-0.00613668	-0.169497	1.70915	-0.562971	1.38375	0.145241
10	1.11054	-0.00613668	-0.169497	1.70915	-0.562971	1.38375	0.145241
11	1.11054	-0.00613668	-0.169497	1.70915	-0.562971	1.38375	0.145241
12	1.11054	-0.00613668	-0.169497	1.70915	-0.562971	1.38375	0.145241
13	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
14	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
15	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
16	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
17	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
18	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
19	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
20	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
21	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
22	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
23	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
24	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
25	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
26	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
27	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
28	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
29	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
30	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
31	1.11054	-0.00613668	-0.169497	1.70915	-0.508705	1.38375	0.145241
