ind	h	I01	I02	b1	b2	s	a
0	1.30398	-0.00916049	-0.763246	1.35262	0.385544	1.1659	0.738189
1	1.30398	-0.00916049	-0.763246	1.35262	0.385544	1.1659	0.738189
2	1.30398	-0.00916049	-0.763246	1.35262	0.385544	1.1659	0.738189
3	1.30398	-0.00916049	-0.780997	1.35262	0.385544	1.1659	0.738189
4	1.30398	-0.00916049	-0.780997	1.35262	0.385544	1.1659	0.738189
5	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
6	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
7	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
8	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
9	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
10	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
11	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
12	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
13	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
14	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
15	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
16	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
17	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
18	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
19	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
20	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
21	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
22	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
23	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
24	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
25	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
26	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
27	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
28	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
29	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
30	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
31	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
32	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
33	1.30398	-0.00916049	-0.785088	1.35262	0.385544	1.1659	0.738189
