ind	h	I01	I02	b1	b2	s	a
0	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
1	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
2	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
3	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
4	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
5	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
6	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
7	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
8	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
9	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
10	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
11	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
12	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
13	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
14	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
15	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
16	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
17	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
18	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
19	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
20	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
21	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
22	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
23	1.42774	-0.0280743	-0.684048	1.67817	-0.298352	0.535385	0.164989
