ind	h	I01	I02	b1	b2	s	a
0	1.52089	-0.000485457	0.211355	1.61096	-1.50709	1.20203	0.493774
1	1.52089	-0.000485457	0.211355	1.61096	-1.50709	1.20203	0.493774
2	1.52089	-0.000485457	0.211355	1.61096	-1.50709	1.20203	0.493774
3	1.52089	-0.000485457	0.211355	1.60532	-1.50709	1.20203	0.493774
4	1.52089	-0.000485457	0.211355	1.60532	-1.50709	1.20203	0.493774
5	1.52089	-0.000485457	0.211355	1.60532	-1.50709	1.20203	0.493774
6	1.52089	-0.000485457	0.211355	1.60532	-1.47325	1.20203	0.493774
7	1.52089	-0.000485457	0.211355	1.60532	-1.47325	1.20203	0.493774
8	1.52089	-0.000485457	0.211355	1.60532	-1.50709	1.20203	0.493774
9	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
10	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
11	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
12	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
13	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
14	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
15	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
16	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
17	1.52089	-0.000485457	0.128402	1.60532	-1.50709	1.20203	0.493774
18	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
19	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
20	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
21	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
22	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
23	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
24	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
25	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
26	1.5289	-0.00678323	0.196005	1.68871	-1.44899	1.21977	0.455045
27	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
28	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
29	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
30	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
31	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
32	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
33	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
34	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
35	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
36	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
37	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
38	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
39	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
40	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
41	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
42	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
43	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
44	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
45	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
46	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
47	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
48	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
49	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
50	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
51	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
52	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
53	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
54	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
55	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
56	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
57	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
58	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
59	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
60	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
61	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
62	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
63	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
64	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
65	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
66	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
67	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
68	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
69	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
70	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
71	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
72	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
73	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
74	1.48062	-0.000485457	0.211355	1.55786	-1.52566	1.20203	0.50182
