ind	h	I01	I02	b1	b2	s	a
0	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
1	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
2	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
3	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
4	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
5	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
6	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
7	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
8	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
9	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
10	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
11	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
12	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
13	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
14	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
15	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
16	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
17	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
18	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
19	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
20	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
21	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
22	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
23	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
24	1.43146	-0.00938759	-0.124656	1.62542	0.434054	0.634587	1.49546
25	1.43731	-0.00938759	-0.124656	1.62542	0.479473	0.634587	1.49546
26	1.43731	-0.00938759	-0.124656	1.62542	0.479473	0.634587	1.49546
