ind	h	I01	I02	b1	b2	s	a
0	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
1	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
2	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
3	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
4	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
5	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
6	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
7	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
8	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
9	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
10	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
11	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
12	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
13	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
14	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
15	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
16	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
17	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
18	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
19	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
20	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
21	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
22	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
23	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
24	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
25	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
26	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
27	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
28	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
29	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
30	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
31	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
32	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
33	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
34	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
35	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
36	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
37	1.08245	-0.0109515	-1.49512	1.50628	-0.797686	0.867177	0.100024
38	1.05151	0.025938	-1.46978	1.49871	-0.69812	0.788942	0.156739
39	1.05151	0.025938	-1.46978	1.49871	-0.69812	0.788942	0.156739
40	1.05151	0.025938	-1.46978	1.49871	-0.69812	0.788942	0.156739
41	1.05151	0.025938	-1.46978	1.49871	-0.69812	0.788942	0.156739
42	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
43	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
44	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
45	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
46	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
47	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
48	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
49	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
50	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
51	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
52	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
53	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
54	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
55	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
56	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
57	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
58	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
59	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
60	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
61	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
62	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
63	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
64	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
65	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
66	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
67	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
68	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
69	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
70	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
71	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.720035	0.156729
72	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
73	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
74	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
75	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
76	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
77	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
78	1.08245	-0.00388511	-1.4735	1.49871	-0.71586	0.709403	0.156729
