ind	h	I01	I02	b1	b2	s	a
0	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
1	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
2	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
3	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
4	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
5	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
6	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
7	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
8	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
9	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
10	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
11	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
12	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
13	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
14	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
15	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
16	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
17	1.35196	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
18	1.35196	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
19	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
20	1.3095	0.0214896	-0.597605	1.10367	-2.51554	1.47501	-0.134117
21	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
22	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
23	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
24	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
25	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
26	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
27	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
28	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
29	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
30	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
31	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
32	1.22682	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
33	1.22682	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
34	1.15717	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
35	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
36	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
37	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
38	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
39	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
40	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
41	1.23982	-0.00115757	-0.597605	1.14421	-2.39524	1.45044	-0.202755
42	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
43	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
44	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
45	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
46	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
47	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
48	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
49	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
50	1.23982	-0.00115757	-0.664415	1.14421	-2.39524	1.47501	-0.202755
51	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
52	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
53	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
54	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
55	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
56	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
57	1.10446	-0.00996057	-0.517154	1.10367	-2.42795	1.4374	-0.196485
58	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
59	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
60	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
61	1.10446	-0.00996057	-0.447048	1.10367	-2.42795	1.4374	-0.196485
62	1.10446	-0.00996057	-0.447048	1.10367	-2.42795	1.4374	-0.196485
63	1.10446	-0.00996057	-0.447048	1.10367	-2.42795	1.4374	-0.196485
64	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
65	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
66	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
67	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
68	1.10446	-0.00996057	-0.528274	1.20799	-2.42795	1.4374	-0.196485
69	1.10446	-0.00996057	-0.528274	1.20799	-2.42795	1.4374	-0.196485
70	1.10446	-0.00996057	-0.528274	1.20799	-2.42795	1.4374	-0.196485
71	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
72	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
73	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
74	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
75	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
76	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
77	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
78	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
79	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
80	1.10446	0.00862955	-0.528274	1.10367	-2.42795	1.4374	-0.196485
81	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
82	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
83	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
84	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
85	1.10446	-0.00996057	-0.528274	1.10367	-2.42795	1.4374	-0.196485
86	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
87	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
88	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
89	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
90	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
91	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
92	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
93	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
94	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
95	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
96	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
97	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
98	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
99	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
100	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
101	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
102	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
103	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
104	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
105	1.05422	0.00391907	-0.538633	1.10367	-2.40325	1.4374	-0.196485
106	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
107	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.45054	-0.196485
108	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.45054	-0.196485
109	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.45054	-0.196485
110	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.45054	-0.196485
111	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
112	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
113	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
114	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
115	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
116	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.242215
117	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.242215
118	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
119	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
120	1.05422	0.00391907	-0.528274	1.10367	-2.40325	1.4374	-0.196485
